occurs_at,headline_initial,sub_category_name
05 03 2017,BEAUTÉ SÉLECTION - NANTESNantes -- Salon professionnel de la coiffure et des soins esthétiques,Entreprises
06 03 2017,"SPORT ACHAT - LYONLyon -- Salon des professionnels du sport: matériel, chaussure, vêtement, accessoires, équipement du magasin et services. Sport-Achat réunit les plus grands acteurs du marché du sport",Entreprises
07 03 2017,"CFIA RENNESRennes -- Carrefour des fournisseurs de l'industrie agroalimentaire. le CFIA RENNES est un salon professionnel réunissant équipementiers, fournisseurs et prestataires de services de l’Industrie Agroalimentaire",Entreprises
08 03 2017,FORUM RHÔNE-ALPESLyon -- Salon de recrutement d'élèves-ingénieurs de France,Entreprises
08 03 2017,IT-PARTNERSParis -- Le Business Club de la Distribution IT. Rencontre d'affaires consacrées à l'informatique et à la bureautique en B to B,Entreprises
08 03 2017,PARIS SPACE WEEKParis -- Rencontres d'affaires internationales et salon de l'industrie de l'espace,Entreprises
08 03 2017,"BE POSITIVELyon -- Salon de la performance énergétique et environnementale des bâtiments et territoires. BePOSITIVE regroupe l’ensemble des solutions des professionnels du bâtiment et de l’énergie au sein de 3 univers: Energie dans le bâtiment, Bâtiment et Aménagement, ENR",Entreprises
08 03 2017,ENRLyon -- Salon des énergies renouvelables,Entreprises
09 03 2017,SALONS CE LYONLyon -- Salon des comités d'entreprises et des collectivités,Entreprises
09 03 2017,"SALONS CE METZMetzSALONS CE TOULOUSEToulouseSALON AGRICOLE DE TARBESTarbesSALON DE L'AGRICULTURE DE TARBESTarbesBIENNALE INTERNATIONALE DESIGN SAINT-ÉTIENNESaint-ÉtienneLILLE - JOB SALONLilleSALON DE LA FORMATION POUR ADULTES DE LILLELilleSALON DE LA POURSUITE D'ÉTUDES ET DES MASTERS DE LILLELilleSALON «MAISON ET INNOVATIONS» DE BELFORTBelfortSALON DES VINS ET DE LA GASTRONOMIE - BRESTBrestSALON DE L'HABITAT D'EVREUXEvreuxIMMOTISSIMO - LILLELilleSALON DE L'HABITAT DE LIMOGESLimogesSALON DECO - LIMOGESLimogesSALON DÉCO BELLISSIMOLimogesSALON HABITAT & JARDIN DE LIMOGESLimogesSALON DES VINS DES VIGNERONS INDÉPENDANTS - LYONLyonSALON DE L'HABITAT DE MANTES-LA-JOLIEMantes-la-JolieSALON EXTÉRIEURS JARDINMulhouseLE SALON BABY PARISParisSALON DU VINTAGE - PARISParisSALON DU TOURISME ET DES LOISIRS DE PLEINE NATURE DE BRETAGNEVannesSALON DE L'HABITAT DE CLERMONT-FERRANDClermont-FerrandSIACMarseilleFESTIVAL DE L'ARTISANATQuimperSALON DE L'HABITAT DES IDÉES POUR LA MAISON - SAINT-ÉTIENNESaint-ÉtienneFOIRE INTERNATIONALE DE ROUENRouenLILLE - JOURNÉE DES FORMATIONS INTERNATIONALESLilleSALON DES FORMATIONS INTERNATIONALESLilleSALON DES MASTERS 1 & 2, MASTÈRES SPÉCIALISÉS & MBAParisSTUDYRAMA INTERNATIONAL MASTERS AND MBA FAIRParisSTUDYRAMA MASTERS & MBA FAIR (PARIS)ParisSTUDYRAMA PROParisKAMASOU MARSEILLEMarseillePHARMAGORA PLUSParisSALON DU GOLF À PARISParisSALON DE L'HABITAT DE SAUMURSaumurFOIRE-EXPOSITION DE NEVERSNeversSTOFFEN SPEKTAKEL ARRASArrasVAPEXPO PARISLyonSALONS CE ZOOPARC DE BEAUVALSaint-AignanSALONS CE LILLELilleINTERSOLLyonINTRALOGISTICS EUROPEParisJEC WORLDParisSITL SOLUTIONS LOGISTIQUESParisMIPIMCannesANALYSE INDUSTRIELLEParisPARIZZAParisSANDWICH & SNACK SHOWParis -- Salon des comités d'entreprises et des collectivitésSalon des comités d'entreprises et des collectivitésSalon de l'agriculture de TarbesSalon de l'agriculture de TarbesSalon international du design. Designers, entreprises, étudiants (notamment ceux de l'École supérieure d'art et design Saint-Étienne), acteurs économiques et institutionnels sont invités à présenter leurs projets et réalisationsSalon régional du recrutement à Lille. Le Lille - Job Salon est dédié aux fonctions commerciales et métiers de la distribution. Il qui réunira une trentaine d’entreprises de tous profils: grandes entreprises, PME-PMI, agences d’intérim et institutionnelsSalon de la formation pour adultes. Le salon de la formation pour adultes de Lille s'adresse aux personnes désirant rencontrer les structures d'information et de financement, les organismes de formation ou encore valider leurs acquisSalon de l'étudiant post bac+3. Le Salon de la Poursuite d’Études et des Masters de Lille va vous permettre, selon votre profils, de bien choisir votre licence, master, MBA, mastère spécialiséSalon de la construction, de l'aménagement et de la rénovation orienté vers l'habitat bien-être et écologiqueSalon des vins et de la gastronomie. Les salons des vins et de la gastronomie sont l'occasion de vous initier aux techniques de la dégustation ou parfaire vos connaissances lors des animations qui vous sont proposéesSalon de l'habitatGrand rendez vous immobilier de la région Nord pas de CalaisSalon de l'habitat de Limoges. Le Salon de l'habitat vous proposera aménagements, équipements, décorations, constructions et rénovations: tous les spécialistes seront ainsi réunis pour vous conseiller et vous guider dans vos projets maisonSalon de la décoration et de l'aménagement intérieur. Salon Déco est le lieu de rendez-vous des amoureux de la décoration et le point de rencontre des tendances, des innovations et des savoir-faire d’exceptionSalon de la décoration et des métiers d'arts. Bellissimo est dédié à l’aménagement intérieur et extérieur et propose tous les styles pour toutes les pièces de la maison: cuisines, salles de bain, chambres, salon et aussi meubles, déco, tapis, luminairesSalon de l'Habitat. Le Grand Salon Régional Habitat & Jardin de Limoges accueille tous les acteurs et les innovations en matière d'habitat, de construction, de rénovation, d'équipement, d'aménagement d'intérieur et d'extérieur et de décorationSalon des vins des vignerons indépendants. Aux salons des vins des Vignerons Indépendants, vous rencontrerez les vignerons eux-mêmes qui chacun avec ses mots vous racontera son histoire, son vin, son métierSalon de l'habitat de Mantes-la-Jolie. Le Salon de l'habitat vous proposera aménagements, équipements, décorations, constructions et rénovations: tous les spécialistes seront ainsi réunis pour vous conseiller et vous guider dans vos projets maisonSalon dédié au jardinage et aux aménagements extérieursSalon des futurs parents, des bébés et des jeunes enfants. Le Salon Baby expose ameublement & décoration, listes de naissances & cadeaux, nutrition infantile & familiale, santé, soin, hygiène, beauté et bien être, jeux d'éveil & jouets et bien d'autresSalon des objets et vêtements ""Vintage"". Le Salon du Vintage, c'est 2000m² d'espace shopping dédiés aux vêtements, accessoires, vinyles et petits mobiliers des années 50 à 90Salon du tourisme en Bretagne. Le SALON DU TOURISME ET DES LOISIRS DE PLEINE NATURE DE BRETAGNE réunit en un seul lieu, hébergements, infrastructures et équipements touristiques, richesses patrimoniales, activités et loisirs de pleine natureSalon de l'habitat de Clermont-Ferrand. Sur plus de 16 000 m2, constructeurs de maisons individuelles, promoteurs, aménageurs-lotisseurs, agents et experts immobiliers, banques et administrateurs de biens vous accueillent au salon de l'habitatSalon international de l'art contemporainFestival de l’artisanat. Le Festival de l’Artisanat valorise toutes les filières de l’artisanat et offrae la possibilité de découvrir ou redécouvrir des savoir-faire, des techniques et des produits et services à l’occasion d’une grande fête de 4 joursSalon de l'habitat de Saint-Etienne. Salon de l'Habitat des Idées pour la Maison de Saint-Étienne accueille constructeurs de maisons individuelles, promoteurs, aménageurs-lotisseurs, agents et experts immobiliers, banques et administrateurs, notairesFoire internationale de Rouen. Foire internationale de Rouen expose les produits et services répartis selon 4 univers: Maison, Artisanat et Richesse du Monde, Loisirs et Bien Etre, et GastronomieSalon de l'étudiant dédié aux formations internationalesSalon des formations internationalesSalon des Masters, MS et MBA. Le Salon des Masters 1 & 2, Mastères Spécialisés & MBA est l’événement incontournable pour les étudiants de niveau Bac+3 /4 ou 5 encore à la recherche d’un Master 1, Master 2, Mastère Spécialisé (MS) ou MBA pour la rentréeSalon international de l'éducationSalon international de l'éducationSalon de la formation des cadres et salariésSalon de l'érotismeForum européen de la pharmacieSalon du Golf à Paris. Le Paris Pro Golf Show est un événement incontournable du calendrier Golf BusinessSalon de l'habitat de Saumur. Le Salon de l'habitat de Saumur vous proposera aménagements, équipements, décorations, constructions et rénovations: tous les spécialistes seront ainsi réunis pour vous conseiller et vous guider dans vos projets maisonFoire-Exposition de NeversExposition de tissus et textilesSalon international de la cigarette électronique et de la vapologie de ParisSalon des comités d'entreprises et des collectivitésSalon des comités d'entreprises et des collectivitésCongrès international sur l’analyse, les méthodologies de traitement et la réhabilitation des sols et eaux souterraines polluésSalon des équipements de manutention pour l'industrie et la distributionSalon mondial des compositesSemaine internationale du transport et de la logistique. Elle offre aux acteurs internationaux du transport de marchandises et des services logistiques l’ensemble des produits et services innovants à l’approvisionnement, la distribution, la supply chainSalon international des professionnels de l'immobilier. Le MIPIM réunit les acteurs les plus influents de tous les secteurs de l’immobilier professionnel – bureaux, résidentiel, commerces, santé, sport, logistiqueSalon de l'analyse industrielle des process, des rejets gazeux, des gaz et de l'eauLe rendez-vous des professionnels du snacking et de la restauration à l'italienneLe rendez-vous leader sur le marché du snacking et de la consommation nomade",Entreprises
